id,gender,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
3,f,12,1,21450,12000,98,381,0
4,f,8,1,21900,13200,98,190,0
8,f,12,1,21900,9750,98,0,0
9,f,15,1,27900,12750,98,115,0
10,f,12,1,24000,13500,98,244,0
11,f,16,1,30300,16500,98,143,0
20,f,12,1,26250,11550,97,48,0
21,f,16,1,38850,15000,97,17,0
36,f,8,1,31350,11250,96,52,0
46,f,15,1,22350,12750,95,165,0
47,f,12,1,30000,16500,95,228,0
58,f,15,1,26400,13500,94,3,0
72,f,16,1,54000,18000,93,11,0
73,f,12,1,26400,10500,93,0,0
74,f,15,1,33900,19500,93,192,0
75,f,15,1,24150,11550,93,0,0
76,f,15,1,29250,11550,93,11,0
77,f,12,1,27600,11400,93,6,0
78,f,12,1,22950,10500,93,10,0
79,f,16,1,34800,14550,93,8,0
80,f,16,1,51000,18000,93,22,0
81,f,12,1,24300,10950,93,5,0
90,f,8,1,16200,9750,92,0,0
91,f,12,1,20100,11250,92,24,0
92,f,8,1,24000,10950,92,6,0
93,f,12,1,25950,10950,92,0,0
94,f,12,1,24600,10050,92,44,0
95,f,12,1,28500,10500,92,6,0
107,f,12,1,25200,14400,91,83,0
108,f,12,1,21000,11550,91,108,0
117,f,12,1,31500,18750,90,205,0
118,f,12,1,31650,14250,90,48,0
119,f,12,1,25200,14100,90,55,0
120,f,16,3,37800,15750,90,7,0
121,f,15,1,18750,10500,90,54,0
122,f,15,1,32550,13500,90,22,0
123,f,12,1,33300,15000,90,3,0
124,f,16,1,38550,16500,90,0,0
134,f,16,3,41550,24990,89,285,0
135,f,12,1,26250,10950,89,0,0
139,f,8,1,20100,13200,88,90,0
140,f,12,1,22350,13500,88,26,0
141,f,15,1,35550,13350,88,32,0
142,f,12,1,28500,13950,88,34,0
143,f,12,1,24450,13200,88,107,0
144,f,8,1,16650,9750,88,412,0
153,f,12,1,26700,12900,87,18,0
154,f,12,1,20850,12000,87,163,0
164,f,15,1,29400,16500,86,24,0
165,f,15,1,33300,13500,86,24,0
166,f,12,1,21900,9750,86,156,0
167,f,12,1,18150,9750,86,72,0
168,f,16,3,46875,17250,86,19,0
176,f,16,1,35700,17250,85,19,0
177,f,12,1,28500,16500,85,69,0
178,f,12,1,17100,10200,85,72,0
188,f,12,1,34500,18750,84,208,0
189,f,12,1,36000,19980,84,240,0
190,f,8,1,29100,16500,84,35,0
191,f,12,1,16500,10200,84,288,0
208,f,12,1,24000,11250,83,16,0
209,f,8,1,19800,10200,83,75,0
221,f,12,1,24000,13800,82,97,0
222,f,15,1,27750,19500,82,265,0
223,f,8,1,22350,10200,82,48,0
224,f,12,1,16200,10200,82,0,0
225,f,15,1,21900,12750,82,0,0
226,f,16,1,23250,15750,82,4,0
227,f,12,1,33900,12000,82,11,0
228,f,15,1,25650,14250,82,51,0
229,f,12,1,17250,10200,82,358,0
236,f,8,1,27450,12000,81,9,0
237,f,12,1,22650,11250,81,0,0
238,f,12,1,27300,11250,81,5,0
239,f,12,1,27750,11225,81,5,0
240,f,16,3,54375,18750,81,81,0
241,f,8,1,17400,10200,81,390,0
242,f,12,1,40800,18000,81,4,0
243,f,12,1,23100,10950,81,0,0
244,f,8,1,22500,10950,81,5,0
245,f,12,1,26700,11550,81,18,0
246,f,12,1,24900,11250,81,0,0
247,f,12,1,19650,10950,81,11,0
248,f,12,1,22050,10950,81,9,0
249,f,12,1,25500,12000,81,11,0
250,f,15,1,28200,12750,81,19,0
251,f,12,1,23100,11250,81,13,0
259,f,12,1,19650,11250,80,5,0
260,f,12,1,22350,11250,80,5,0
261,f,12,1,23400,11250,80,18,0
262,f,12,1,24300,10950,80,8,0
263,f,12,1,28500,11250,80,4,0
264,f,12,1,19950,11250,80,8,0
265,f,12,1,23400,11250,80,0,0
266,f,16,1,34500,17250,80,3,0
267,f,12,1,18150,10950,80,0,0
277,f,16,3,43000,17490,79,20,0
278,f,8,1,20850,12000,79,70,0
279,f,12,1,24450,12000,79,8,0
280,f,12,1,24750,10950,79,5,0
297,f,12,1,23400,15300,78,209,0
298,f,12,1,24600,13500,78,47,0
299,f,15,1,32550,18000,78,6,0
311,f,12,1,22500,12000,77,63,0
312,f,12,1,25650,14250,77,64,0
313,f,12,1,21300,11250,77,0,0
314,f,12,1,29850,13500,77,38,0
315,f,12,1,34500,12150,77,4,0
321,f,12,1,22050,12000,76,6,0
322,f,12,1,22500,14250,76,90,0
323,f,15,1,25500,12000,76,7,0
324,f,12,1,29160,15000,76,22,0
325,f,8,1,16800,10200,76,76,0
331,f,12,1,24450,12000,75,144,0
332,f,16,1,33000,18000,75,26,0
333,f,15,1,37050,18000,75,5,0
337,f,12,1,26100,11550,74,2,0
338,f,8,1,15900,10200,74,43,0
339,f,8,1,23700,10650,74,281,0
340,f,8,1,21750,12450,74,318,0
345,f,12,1,22200,16500,73,7,0
346,f,15,1,22950,13950,73,22,0
347,f,12,1,23100,12000,73,228,0
348,f,16,3,56750,30000,73,15,0
349,f,17,1,29100,12750,73,375,0
350,f,12,1,37650,15750,73,132,0
351,f,12,1,27900,13500,73,32,0
352,f,8,1,21150,12000,73,159,0
357,f,8,1,17700,10200,72,184,0
358,f,15,1,23550,13500,72,49,0
359,f,12,1,19950,10200,72,56,0
360,f,12,1,29400,15300,72,30,0
361,f,12,1,28800,13950,72,18,0
362,f,8,1,16950,10200,72,319,0
370,f,16,1,36600,18000,71,12,0
371,f,16,3,58125,18000,71,11,0
378,f,8,1,15750,10200,70,275,0
379,f,8,1,19650,13050,70,102,0
380,f,12,1,21000,13500,70,82,0
390,f,15,1,24150,13500,69,7,0
391,f,12,1,24450,12450,69,12,0
392,f,12,1,21600,12000,69,0,0
393,f,12,1,27900,12450,69,0,0
394,f,8,1,29100,12450,69,17,0
395,f,12,1,22650,11250,69,2,0
396,f,12,1,20850,11250,69,0,0
397,f,12,1,22950,12300,69,5,0
398,f,12,1,30600,12450,69,5,0
399,f,12,1,20400,11250,69,0,0
400,f,12,1,23850,12750,69,20,0
401,f,12,1,22800,11250,69,0,0
402,f,12,1,20700,11250,69,2,0
410,f,8,1,25200,18750,68,344,0
411,f,12,1,16200,10200,68,180,0
412,f,12,1,22800,11250,68,2,0
413,f,16,3,43500,19500,68,11,0
423,f,12,1,22200,13800,67,196,0
424,f,15,1,31350,11100,67,47,0
425,f,12,1,20850,13500,67,181,0
439,f,12,1,20400,11250,66,0,0
440,f,8,1,24150,12750,66,96,0
441,f,15,1,23850,13500,66,122,0
442,f,12,1,29700,13500,66,26,0
443,f,8,1,21600,13500,66,228,0
444,f,12,1,24450,15750,66,87,0
459,f,12,1,21750,11250,65,0,0
460,f,12,1,22500,12750,65,24,0
461,f,8,1,21600,13500,65,173,0
462,f,16,3,34410,19500,65,79,0
463,f,15,1,20700,14250,65,241,0
466,f,12,1,23400,13500,64,198,0
467,f,16,1,32850,19500,64,20,0
468,f,16,3,55750,19980,64,36,0
469,f,15,1,25200,13950,64,57,0
473,f,12,1,21450,12750,63,139,0
474,f,12,1,29400,14250,63,9,0
14,f,15,1,35100,16800,98,137,1
23,f,15,1,24000,11100,97,75,1
24,f,12,1,16950,9000,97,124,1
25,f,15,1,21150,9000,97,171,1
40,f,15,1,19200,9000,96,23,1
41,f,12,1,23550,11550,96,52,1
82,f,12,1,24750,14250,93,193,1
83,f,12,1,22950,11250,93,0,1
84,f,8,1,25050,10950,93,8,1
99,f,12,1,22050,10950,92,5,1
128,f,12,1,19650,9750,90,229,1
148,f,15,1,26550,14250,88,61,1
157,f,12,1,26550,13050,87,11,1
158,f,12,1,27750,12000,87,11,1
159,f,16,1,25050,12750,87,123,1
172,f,15,1,29850,15000,86,79,1
180,f,12,1,24000,12750,85,59,1
181,f,12,1,27450,10200,85,101,1
182,f,12,1,18450,10200,85,228,1
193,f,12,1,24750,12000,84,41,1
194,f,15,1,27150,15750,84,231,1
195,f,12,1,26400,12750,84,36,1
196,f,16,1,23100,12000,84,214,1
214,f,12,1,20400,10950,83,9,1
215,f,12,1,19200,11100,83,7,1
253,f,8,1,17100,10200,81,0,1
304,f,15,1,25800,13500,78,51,1
334,f,12,1,24450,10950,75,32,1
342,f,12,1,24450,14250,74,117,1
354,f,12,1,20550,11250,73,154,1
364,f,12,1,17400,10200,72,116,1
365,f,8,1,21450,10200,72,194,1
366,f,12,1,24750,12000,72,68,1
367,f,12,1,16950,10200,72,271,1
368,f,12,1,26100,13500,72,169,1
384,f,12,1,20850,13050,70,127,1
403,f,12,1,21300,11250,69,3,1
404,f,12,1,24300,15000,69,121,1
405,f,12,1,19650,13950,69,133,1
448,f,12,1,16350,10200,66,163,1
1,m,15,3,57000,27000,98,144,0
2,m,16,1,40200,18750,98,36,0
5,m,15,1,45000,21000,98,138,0
6,m,15,1,32100,13500,98,67,0
7,m,15,1,36000,18750,98,114,0
15,m,12,1,27300,13500,97,66,0
16,m,12,1,40800,15000,97,24,0
17,m,15,1,46000,14250,97,48,0
18,m,16,3,103750,27510,97,70,0
19,m,12,1,42300,14250,97,103,0
26,m,15,1,31050,12600,96,14,0
27,m,19,3,60375,27480,96,96,0
28,m,15,1,32550,14250,96,43,0
29,m,19,3,135000,79980,96,199,0
30,m,15,1,31200,14250,96,54,0
31,m,12,1,36150,14250,96,83,0
32,m,19,3,110625,45000,96,120,0
33,m,15,1,42000,15000,96,68,0
34,m,19,3,92000,39990,96,175,0
35,m,17,3,81250,30000,96,18,0
42,m,15,1,35100,16500,95,90,0
43,m,12,1,23250,14250,95,46,0
44,m,8,1,29250,14250,95,50,0
45,m,12,2,30750,13500,95,307,0
48,m,12,2,30750,14100,94,240,0
49,m,15,1,34800,16500,94,93,0
50,m,16,3,60000,23730,94,59,0
51,m,12,1,35550,15000,94,48,0
52,m,15,1,45150,15000,94,40,0
53,m,18,3,73750,26250,94,56,0
54,m,12,1,25050,13500,94,444,0
55,m,12,1,27000,15000,94,120,0
56,m,15,1,26850,13500,94,5,0
57,m,15,1,33900,15750,94,78,0
62,m,16,3,48000,21750,93,22,0
63,m,17,3,55000,26250,93,32,0
64,m,16,3,53125,21000,93,48,0
65,m,8,1,21900,14550,93,41,0
66,m,19,3,78125,30000,93,7,0
67,m,16,3,46000,21240,93,35,0
68,m,16,3,45250,21480,93,36,0
69,m,16,3,56550,25000,93,34,0
70,m,15,1,41100,20250,93,27,0
71,m,17,3,82500,34980,93,207,0
85,m,15,1,25950,17100,92,42,0
86,m,15,1,31650,15750,92,64,0
87,m,12,1,24150,14100,92,130,0
88,m,19,3,72500,28740,92,10,0
89,m,19,3,68750,27480,92,8,0
100,m,18,3,78250,27480,91,47,0
101,m,16,3,60625,22500,91,44,0
102,m,14,1,39900,15750,91,59,0
103,m,19,3,97000,35010,91,68,0
104,m,15,1,27450,15750,91,48,0
105,m,15,1,31650,13500,91,18,0
106,m,19,3,91250,29490,91,23,0
113,m,16,3,54875,27480,90,68,0
114,m,14,1,37800,16500,90,60,0
115,m,15,1,33450,14100,90,85,0
116,m,15,1,30300,16500,90,16,0
129,m,17,3,68750,27510,89,38,0
130,m,20,3,59375,30000,89,6,0
131,m,15,1,31500,15750,89,22,0
132,m,12,1,27300,17250,89,175,0
133,m,15,1,27000,15750,89,87,0
136,m,12,1,22200,15000,88,324,0
137,m,21,3,65000,37500,88,264,0
138,m,12,1,30900,15000,88,252,0
149,m,12,1,27600,15000,87,75,0
150,m,12,1,25800,15000,87,143,0
151,m,16,3,42300,26250,87,126,0
152,m,8,2,30750,15000,87,451,0
160,m,16,3,66000,47490,86,150,0
161,m,16,1,52650,19500,86,20,0
162,m,16,3,45625,23250,86,60,0
163,m,15,1,30900,15000,86,25,0
173,m,20,3,69250,42480,85,134,0
174,m,8,2,31950,15000,85,438,0
175,m,8,1,26250,15600,85,171,0
183,m,15,1,39300,15750,84,72,0
184,m,15,1,38850,15000,84,53,0
185,m,8,2,30750,15000,84,380,0
186,m,15,1,37500,20400,84,33,0
187,m,16,3,58750,21750,84,13,0
197,m,15,3,54900,25500,83,49,0
198,m,19,3,70875,43500,83,156,0
199,m,16,3,51250,27480,83,69,0
200,m,17,3,67500,34980,83,9,0
201,m,12,1,29340,19500,83,150,0
202,m,15,1,39600,16500,83,47,0
203,m,12,1,29100,15000,83,50,0
204,m,15,1,33150,16500,83,69,0
205,m,16,3,66750,52500,83,258,0
206,m,12,2,33750,15000,83,284,0
207,m,15,1,27300,17250,83,91,0
216,m,15,1,30150,15750,82,72,0
217,m,16,1,34620,27750,82,149,0
218,m,15,1,80000,15750,82,34,0
219,m,12,1,25350,15000,82,32,0
220,m,12,1,29850,15750,82,85,0
231,m,16,3,40200,21000,81,3,0
232,m,19,3,55500,33750,81,62,0
233,m,15,1,26550,15000,81,52,0
234,m,15,1,50550,19500,81,44,0
235,m,19,3,75000,31500,81,13,0
254,m,18,3,68125,32490,80,29,0
255,m,12,2,30600,15750,80,460,0
256,m,19,3,52125,27480,80,221,0
257,m,19,3,61875,36750,80,199,0
258,m,8,1,21300,11550,80,24,0
269,m,15,1,40200,17250,79,38,0
270,m,15,1,28650,18000,79,261,0
271,m,15,1,27750,16500,79,55,0
272,m,18,1,66875,31980,79,30,0
273,m,12,2,30000,15750,79,308,0
274,m,16,3,83750,21750,79,12,0
275,m,12,1,33900,16500,79,94,0
276,m,16,3,56500,21000,79,12,0
283,m,19,3,68125,32010,78,35,0
284,m,19,3,73500,33000,78,45,0
285,m,8,2,30750,15750,78,429,0
286,m,15,3,40050,25500,78,133,0
287,m,16,1,40350,19500,78,20,0
288,m,15,3,38700,23730,78,176,0
289,m,17,3,65000,30750,78,26,0
290,m,18,3,51450,36240,78,149,0
291,m,12,2,35250,15750,78,387,0
292,m,14,1,25950,15000,78,53,0
293,m,15,1,25050,14250,78,24,0
294,m,12,1,26700,12750,78,25,0
295,m,8,1,24000,15750,78,476,0
296,m,12,1,26850,15000,78,48,0
305,m,12,2,30750,15750,77,317,0
306,m,15,1,30750,16500,77,41,0
307,m,16,3,50000,32490,77,264,0
308,m,15,1,34500,18000,77,63,0
309,m,15,1,26250,15750,77,38,0
310,m,16,1,44875,21240,77,22,0
318,m,16,3,48750,21990,76,61,0
319,m,15,1,43410,15750,76,12,0
320,m,12,1,22050,15000,76,385,0
328,m,18,3,55000,32490,75,125,0
329,m,18,3,62500,34980,75,74,0
330,m,15,1,27300,17250,75,132,0
335,m,8,2,31950,15750,74,408,0
336,m,16,3,47250,21240,74,45,0
343,m,16,3,103500,60000,73,150,0
344,m,12,1,35700,16500,73,72,0
355,m,15,1,25950,17250,72,83,0
356,m,15,1,28350,15000,72,48,0
369,m,14,1,28050,15000,71,15,0
372,m,15,1,21300,15750,70,372,0
373,m,12,1,22500,16500,70,216,0
374,m,15,1,29400,15750,70,15,0
375,m,12,1,27450,14700,70,41,0
376,m,15,1,29850,15750,70,48,0
377,m,15,1,25350,15750,70,56,0
385,m,12,2,30000,15750,69,348,0
386,m,8,2,28500,15750,69,174,0
387,m,19,3,65000,31980,69,74,0
388,m,14,1,30150,16500,69,110,0
389,m,19,3,66875,32490,69,81,0
406,m,17,3,60000,32490,68,17,0
407,m,15,1,30300,15750,68,55,0
408,m,19,3,61250,33000,68,9,0
409,m,19,1,36000,19500,68,21,0
416,m,15,1,35250,13500,67,6,0
417,m,15,1,37800,15000,67,36,0
418,m,15,1,31200,15750,67,46,0
419,m,15,1,29400,16500,67,68,0
420,m,19,3,70000,35040,67,75,0
421,m,15,1,33900,15750,67,96,0
422,m,15,1,27150,16500,67,78,0
431,m,18,3,86250,45000,66,50,0
432,m,12,1,30750,15000,66,56,0
433,m,12,1,33540,15750,66,47,0
434,m,16,1,34950,20250,66,55,0
435,m,15,1,40350,16500,66,80,0
436,m,12,1,30270,15750,66,80,0
437,m,8,1,26250,16050,66,264,0
438,m,15,1,32400,15000,66,64,0
449,m,16,3,70000,21750,65,19,0
450,m,19,3,55000,34980,65,129,0
451,m,15,1,28500,14250,65,20,0
452,m,12,1,28800,18000,65,210,0
453,m,15,1,24450,15750,65,338,0
454,m,19,3,90625,31250,65,18,0
455,m,16,3,43650,19500,65,19,0
456,m,19,3,75000,42510,65,54,0
457,m,15,1,31650,14250,65,10,0
458,m,19,3,61875,28740,65,26,0
464,m,19,3,47550,33000,64,27,0
465,m,12,1,33900,16500,64,106,0
472,m,15,1,39150,15750,63,46,0
12,m,8,1,28350,12000,98,26,1
13,m,15,1,27750,14250,98,34,1
22,m,12,1,21750,12750,97,315,1
37,m,12,1,29100,13500,96,113,1
38,m,15,1,31350,15000,96,49,1
39,m,16,1,36000,15000,96,46,1
59,m,15,1,28050,14250,94,36,1
60,m,12,1,30900,15000,94,102,1
61,m,8,1,22500,9750,94,36,1
96,m,8,2,30750,15000,92,432,1
97,m,17,1,40200,19500,92,168,1
98,m,8,2,30000,15000,92,144,1
109,m,12,1,30450,15000,91,49,1
110,m,15,1,28350,18000,91,151,1
111,m,12,2,30750,9000,91,314,1
112,m,12,2,30750,15000,91,240,1
125,m,12,1,27450,15000,90,173,1
126,m,15,2,24300,15000,90,191,1
127,m,12,2,30750,15000,90,209,1
145,m,12,1,26700,13500,88,38,1
146,m,18,1,43950,23250,88,182,1
147,m,15,1,23700,13500,88,359,1
155,m,15,1,35250,15000,87,54,1
156,m,15,1,26700,15000,87,56,1
169,m,12,1,25500,14400,86,37,1
170,m,12,1,26550,15000,86,38,1
171,m,12,1,26700,13500,86,367,1
179,m,12,1,25200,13050,85,29,1
192,m,12,1,19650,12750,84,180,1
210,m,15,1,30600,16500,83,216,1
211,m,15,1,28950,15000,83,108,1
212,m,15,1,38400,16500,83,64,1
213,m,8,2,30750,15000,83,302,1
230,m,15,1,22500,15000,82,371,1
252,m,12,1,25500,11400,81,9,1
268,m,12,1,22350,15000,80,272,1
281,m,8,2,34500,15750,79,246,1
282,m,14,1,27900,15000,79,47,1
300,m,16,1,26550,15000,78,105,1
301,m,12,1,31500,13500,78,7,1
302,m,8,1,22350,15000,78,320,1
303,m,12,2,35250,15750,78,281,1
316,m,15,1,27750,15000,77,52,1
317,m,12,1,27750,11550,77,12,1
326,m,8,2,29550,15750,76,144,1
327,m,12,1,26700,15750,76,18,1
341,m,12,3,59400,33750,74,272,1
353,m,12,2,31200,15750,73,155,1
363,m,16,1,35700,18000,72,138,1
381,m,17,1,27000,18000,70,192,1
382,m,12,1,24000,15750,70,120,1
383,m,17,3,78500,28740,70,67,1
414,m,8,2,30300,15750,68,155,1
415,m,15,1,31950,15750,68,70,1
426,m,16,1,33300,17490,67,120,1
427,m,8,1,26250,16050,67,97,1
428,m,15,1,31950,15750,67,58,1
429,m,8,2,30000,15750,67,305,1
430,m,19,3,66250,34980,67,99,1
445,m,15,1,28050,16500,66,84,1
446,m,16,3,100000,44100,66,128,1
447,m,15,1,49000,20550,66,86,1
470,m,12,1,26250,15750,64,69,1
471,m,15,1,26400,15750,64,32,1
